chr10:100015109-100015443 LOXL4
chr15:69668624-69670020 THSD4
chr15:70216626-70216693 SENP8
chr15:73654366-73654668 PTPN9
chr15:74671612-74673430 SCAPER
chr15:74671652-74683993 SCAPER
chr15:74677967-74682525 SCAPER
chr15:76871319-76871410 ADAMTS7
chr15:77986939-77988134 ST20
chr15:78181729-78194509 ZFAND6
chr15:81072326-81072636 CPEB1
chr15:82071624-82071832 SH3GL3
chr15:82332439-82334852 ADAMTSL3
chr15:82397796-82397996 ADAMTSL3
chr15:83043940-83044743 SEC11A
chr15:83750610-83755243 AKAP13
chr15:83858012-83860202 AKAP13
chr15:83903890-83903984 AKAP13
chr15:86588739-86588841 NTRK3
chr15:90378255-90380324 SLCO3A1
chr15:90475578-90478074 SLCO3A1
chr15:97474122-97474921 DMN
chr15:98504499-98510703 ADAMTS17
chr15:98531958-98532208 ADAMTS17
chr15:98809823-98809889 LASS3
chr15:99270591-99270899 ALDH1A3
chr15:99571026-99573937 CHSY1
chr15:99718253-99718438 PCSK6
chr15:99719065-99719120 PCSK6
chr16:10678574-10679090 TEKT5
chr16:11773510-11775197 ZC3H7A
chr16:1440690-1440927 CLCN7
chr16:14456972-14458111 PARN
chr1:61482874-61483105 NFIA
chr16:17383151-17387148 XYLT1
chr16:19413818-19414136 TMC5
chr16:1993286-1993400 ZNF598
chr16:2166696-2166975 TRAF7
chr1:62210137-62225016 INADL
chr16:22816475-22816752 HS3ST2
chr16:2287944-2288183 ABCA3
chr16:23818388-23818693 PRKCB1
chr1:62395546-62396976 INADL
chr16:24078313-24078408 PRKCB1
chr1:62537996-62543330 ANKRD38
chr16:25629276-25629330 HS3ST4
chr16:27787937-27789903 GSG1L
chr16:27887666-27889263 GSG1L
chr16:28525012-28527530 SULT1A1
chr16:28525012-28527530 SULT1A2
chr16:31828980-31831766 ZNF267
chr1:6360751-6368514 ACOT7
chr16:3692093-3693984 TRAP1
chr16:3858275-3858502 CREBBP
chr1:64219214-64220590 ROR1
chr16:470778-471088 RAB11FIP3
chr16:4709894-4712397 ANKS3
chr1:64740868-64740965 CACHD1
chr16:48097820-48097953 ZNF423
chr16:48781024-48782591 PAPD5
chr16:5019300-5019350 NAGPA
chr16:52270958-52271060 RPGRIP1L
chr1:65454819-65455182 AK3L1
chr16:55810123-55810445 RSPRY1
chr1:65682211-65682480 LEPR
chr16:57172378-57172465 CNOT1
chr16:57204401-57206037 CNOT1
chr16:57204692-57207765 CNOT1
chr1:65796762-65802855 LEPR
chr1:65813528-65816490 LEPR
chr16:65811167-65811482 LRRC29
chr16:66071307-66071624 ATP6V0D1
chr16:67793682-67793816 SNTB2
chr16:69094985-69095297 COG4
chr16:69110511-69110830 COG4
chr16:69426852-69426928 HYDIN
chr16:69535297-69537391 HYDIN
chr1:66980717-66981039 SGIP1
chr1:67094250-67096885 WDR78
chr16:73987360-73988137 CFDP1
chr16:73987373-73988037 CFDP1
chr16:75096635-75101526 CNTNAP4
chr16:76729167-76729845 WWOX
chr16:76929112-76931230 WWOX
chr16:76929140-76942399 WWOX
chr16:76931812-76937930 WWOX
chr16:76932967-76934025 WWOX
chr16:76939612-76942430 WWOX
chr16:77257347-77257436 WWOX
chr16:77319462-77330036 WWOX
chr16:77434154-77435078 WWOX
chr16:77583705-77596691 WWOX
chr16:77617288-77620503 WWOX
chr16:80634494-80634815 HSD17B2
chr16:81561477-81561771 CDH13
chr16:81667968-81668027 CDH13
chr16:82228341-82234413 CDH13
chr16:82366006-82366583 CDH13
chr16:83597947-83600680 ZDHHC7
chr1:68367114-68367311 GPR177
chr16:84339154-84339294 C16orf74
chr16:87089730-87092136 ZFPM1
chr16:87419184-87419434 GALNS
chr16:87425157-87425732 GALNS
chr16:87754261-87754374 C16orf81
chr16:88326601-88326894 ZNF276
chr16:88423559-88425891 SPIRE2
chr16:8937084-8938883 USP7
chr1:70420801-70422802 LRRC40
chr1:70540700-70541022 ANKRD13C
chr17:10142345-10142810 MYH13
chr17:10532861-10533176 SCO1
chr17:11498096-11498416 DNAH9
chr1:71259777-71262397 PTGER3
chr17:136814-138937 RPH3AL
chr17:1399529-1399885 PITPNA
chr17:14181666-14182732 HS3ST3B1
chr17:156975-157182 RPH3AL
chr17:1601397-1602221 SERPINF2
chr17:17171100-17171975 NT5M
chr17:18731864-18732888 PRPSAP2
chr17:193768-197057 RPH3AL
chr17:19512503-19512912 ALDH3A2
chr17:2084322-2084766 SMG6
chr17:20871161-20871240 USP22
chr17:2141671-2141805 SMG6
chr1:72222209-72222620 NEGR1
chr17:22899674-22899756 KSR1
chr17:24043455-24044133 SUPT6H
chr17:24790318-24790412 TAOK1
chr17:24806230-24808496 TAOK1
chr17:2517266-2518360 PAFAH1B1
chr17:25233672-25233751 SSH2
chr17:25474197-25474267 CCDC55
chr17:2666683-2667979 GARNL4
chr17:28067096-28067187 MYO1D
chr17:28821969-28822140 ACCN1
chr17:29074157-29079775 ACCN1
chr17:31637612-31660630 CCL3L3
chr17:32453044-32453237 AATF
chr17:32829630-32832938 ACACA
chr17:32853062-32856537 TADA2L
chr17:32853152-32855750 TADA2L
chr17:34216976-34218433 CCDC49
chr17:34701674-34702280 FBXL20
chr17:34733691-34734172 FBXL20
chr17:35265737-35265871 IKZF3
chr17:36455112-36538135 KRTAP4-12
chr17:36455112-36538135 KRTAP4-9
chr17:36760271-36779253 KRT33A
chr17:36760271-36779253 KRT33B
chr17:36760512-36764230 KRT33A
chr17:36772302-36774600 KRT33B
chr17:36775212-36777330 KRT33B
chr17:3681534-3682591 C17orf85
chr17:37743486-37744125 STAT3
chr17:3782678-3784196 ATP2A3
chr17:402920-403309 VPS53
chr17:41442561-41442798 MAPT
chr17:41532208-41532530 KIAA1267
chr17:41579685-41579998 KIAA1267
chr17:42614020-42621509 CDC27
chr1:74527757-74527877 TNNI3K
chr17:46199115-46199489 C17orf73
chr17:47252958-47254288 CA10
chr17:47471613-47481360 CA10
chr17:47477168-47477641 CA10
chr1:74757108-74757841 TNNI3K
chr17:495756-496775 VPS53
chr17:5131275-5131369 RABEP1
chr17:5218143-5218717 RABEP1
chr17:5279813-5280802 C1QBP
chr17:5405463-5405786 NLRP1
chr17:54612242-54613772 PRR11
chr17:54612254-54614123 PRR11
chr17:55224998-55225966 TMEM49
chr17:55682000-55682067 USP32
chr17:55766576-55768931 USP32
chr17:55934631-55936055 APPBP2
chr17:58972512-58972672 KCNH6
chr17:61138955-61139136 CCDC46
chr17:614742-615562 GLOD4
chr17:61593973-61594030 CCDC46
chr17:61785009-61785204 PRKCA
chr17:62415559-62416558 CACNG4
chr17:62868774-62874330 PITPNC1
chr17:62878378-62879232 PITPNC1
chr17:63297273-63297386 BPTF
chr17:63394301-63396212 BPTF
chr17:64060387-64060716 FAM20A
chr17:64074806-64076849 FAM20A
chr17:64599247-64599557 ABCA6
chr1:76541308-76541385 ST6GALNAC3
chr17:656097-656279 NXN
chr17:670352-671756 NXN
chr17:670597-671735 NXN
chr17:68326823-68332955 SLC39A11
chr17:68881570-68882400 SDK2
chr17:70619324-70619833 ARMC7
chr17:71791316-71792224 QRICH2
chr17:7181798-7184278 CENTB1
chr17:71846831-71848313 PRPSAP1
chr17:72995292-72995375 SEPT9
chr17:7449181-7449236 FXR2
chr17:748377-748981 NXN
chr17:75606608-75615436 TBC1D16
chr17:76742917-76743255 AATK
chr17:7696440-7696491 JMJD3
chr17:77188123-77188445 NPLOC4
chr17:78134104-78135182 FOXK2
chr17:78245301-78246691 RAB40B
chr17:78576391-78576818 B3GNTL1
chr17:8187337-8188693 ODF4
chr1:78606486-78608426 PTGFR
chr17:8654091-8655987 C17orf38
chr1:78656949-78662698 PTGFR
chr17:9005941-9006057 NTN1
chr1:79166197-79172114 ELTD1
chr18:10787178-10787384 C18orf58
chr18:12493664-12494397 SPIRE1
chr18:13877124-13877381 MC2R
chr1:81752320-81752440 LPHN2
chr1:81857837-81857887 LPHN2
chr18:197031-197706 USP14
chr18:19744977-19745119 LAMA3
chr18:20157361-20158591 OSBPL1A
chr18:20918154-20918579 ZNF521
chr18:21146479-21146802 ZNF521
chr18:22001804-22005320 PSMA8
chr18:22016970-22020152 PSMA8
chr18:22388022-22388442 KCTD1
chr18:22825619-22826339 CHST9
chr18:2579680-2579856 NDC80
chr18:28142161-28143494 FAM59A
chr18:28535454-28535678 KLHL14
chr18:28883819-28883877 C18orf34
chr18:2920324-2926850 LPIN2
chr18:2987377-2987457 LPIN2
chr18:30000704-30001040 NOL4
chr18:30342036-30343281 DTNA
chr18:30587295-30587643 DTNA
chr18:30915953-30916269 MAPRE2
chr18:31455197-31455522 GALNT1
chr18:32187856-32187947 FHOD3
chr18:32207545-32210738 FHOD3
chr18:32314859-32315086 FHOD3
chr18:3550490-3552124 DLGAP1
chr18:3620121-3621754 DLGAP1
chr18:3625367-3626941 DLGAP1
chr18:37839687-37840320 PIK3C3
chr18:40879415-40880097 SETBP1
chr1:84160931-84161541 TTLL7
chr18:41930679-41931692 ATP5A1
chr18:42796073-42796953 KATNAL2
chr18:45233019-45233599 DYM
chr18:45910101-45915905 MYO5B
chr18:45948972-45952384 MYO5B
chr18:46165018-46165282 C18orf24
chr18:46959903-46959968 MEX3C
chr1:8472834-8473913 RERE
chr18:53958688-53958856 NEDD4L
chr18:54059726-54060325 NEDD4L
chr18:54082073-54088115 NEDD4L
chr18:5447106-5447205 EPB41L3
chr18:5482282-5482519 EPB41L3
chr1:85679074-85679147 DDAH1
chr18:57336630-57340015 CDH20
chr18:57920701-57920761 PIGN
chr18:5986986-5987406 L3MBTL4
chr18:6097576-6100131 L3MBTL4
chr18:62365875-62366183 CDH19
chr18:62370684-62372233 CDH19
chr18:65300566-65302557 DOK6
chr18:65359337-65368436 DOK6
chr18:65447259-65447721 DOK6
chr1:86624114-86624269 ODF2L
chr18:679855-680347 ENOSF1
chr18:7063837-7063889 LAMA1
chr1:87296068-87297344 HS2ST1
chr18:75158735-75159972 ATP9B
chr18:75207159-75207415 ATP9B
chr18:75555208-75555395 CTDP1
chr18:75749359-75749514 KCNG2
chr18:7899701-7899756 PTPRM
chr18:8362040-8362370 PTPRM
chr18:9215119-9215453 ANKRD12
chr1:89248497-89251212 GBP3
chr18:9267705-9267816 ANKRD12
chr18:9375392-9375715 TWSG1
chr1:89794667-89795397 LRRC8B
chr18:9805261-9806148 RAB31
chr1:89941570-89946708 LRRC8C
chr1:9046321-9046640 SLC2A5
chr19:11155805-11157520 ANKRD25
chr19:11378486-11379622 RGL3
chr19:11901712-11903830 ZNF700
chr19:12555877-12559930 ZNF490
chr19:12556352-12559150 ZNF490
chr19:12713504-12715220 ASNA1
chr19:12883843-12884256 SYCE2
chr19:13340551-13340870 CACNA1A
chr19:15622937-15623409 CYP4F3
chr19:16519546-16521155 CALR3
chr19:16647901-16648108 TMEM38A
chr19:17122381-17122818 MYO9B
chr19:17856138-17856846 SLC5A5
chr19:18103159-18103478 MAST3
chr19:18375740-18376791 PGPEP1
chr19:19119019-19119292 MEF2B
chr19:19695444-19700662 ZNF14
chr1:92004650-92005921 TGFBR3
chr19:2229344-2229397 C19orf35
chr19:2860348-2861542 ZNF57
chr19:2860348-2861542 ZNF77
chr19:35566680-35567065 ZNF536
chr19:35709175-35709490 ZNF536
chr19:38264621-38264884 GPATCH1
chr19:3956349-4110437 CREB3L3
chr19:3956349-4110437 MAP2K2
chr19:3956349-4110437 PIAS4
chr19:3956349-4110437 ZBTB7A
chr1:94024047-94024359 BCAR3
chr1:94060856-94064435 BCAR3
chr1:94060961-94063844 BCAR3
chr19:41532551-41533972 ZFP14
chr19:41532592-41538912 ZFP14
chr19:41649591-41652188 ZNF566
chr19:41738022-41738337 ZNF529
chr19:42378395-42378450 ZNF585B
chr19:46041370-46073107 CYP2A6
chr19:46142940-46211002 CYP2B6
chr19:48230412-48409226 PSG2
chr19:48392803-48456691 PSG9
chr19:48673212-48673815 PHLDB3
chr19:49584196-49630585 ZNF285A
chr19:50970493-50971468 DMPK
chr19:51314575-51320152 IGFL3
chr19:51315512-51317030 IGFL3
chr19:51509208-51510455 HIF3A
chr19:52220076-52220542 NPAS1
chr19:52265156-52266086 C19orf7
chr1:95294848-95298524 ALG14
chr19:53027000-53027366 CRX
chr19:53064534-53066073 SULT2A1
chr1:953735-954344 AGRN
chr19:556298-559431 HCN2
chr19:56825467-56828525 SIGLEC5
chr19:57640782-57640887 ZNF578
chr19:57774089-57775304 ZNF701
chr19:57775924-57776058 ZNF701
chr19:57917491-57928015 ZNF611
chr19:58008487-58011791 ZNF28
chr19:58168949-58169500 ZNF160
chr19:58168949-58169500 ZNF702
chr19:58426069-58430335 ZNF677
chr19:58628533-58665345 ZNF761
chr19:58628533-58665345 ZNF813
chr19:59248112-59250930 VSTM1
chr19:59370129-59370239 LENG4
chr19:59492669-59499432 LILRA3
chr19:59497912-59499430 LILRA3
chr19:59919962-60065185 KIR2DL4
chr19:59919962-60065185 KIR3DL1
chr19:59919962-60065185 KIR3DL2
chr19:59919962-60065185 KIR3DL3
chr19:60179983-60180045 NLRP2
chr19:61210079-61211267 NLRP5
chr19:61558270-61561734 ZSCAN5
chr19:6338636-6339192 GTF2F1
chr19:640091-640189 PRSSL1
chr19:6730226-6732019 VAV1
chr19:6938463-6938792 EMR4
chr19:7197862-7198037 INSR
chr19:7209363-7210292 INSR
chr19:7357079-7360092 ARHGEF18
chr1:97413319-97413416 DPYD
chr1:97810449-97815294 DPYD
chr19:8149012-8150957 ELAVL1
chr19:8150155-8150976 ELAVL1
chr19:8317741-8320481 ELAVL1
chr19:8420411-8420717 HNRPM
chr20:13510998-13511071 TASP1
chr20:14220018-14227485 MACROD2
chr20:14414307-14414370 MACROD2
chr20:14425294-14426955 MACROD2
chr20:14729459-14775500 MACROD2
chr20:14928975-14929305 MACROD2
chr20:1505309-1507935 SIRPB1
chr20:1508967-1534025 SIRPB1
chr20:1509062-1542435 SIRPB1
chr20:15249732-15251768 MACROD2
chr20:15258945-15268664 MACROD2
chr20:1537767-1542025 SIRPB1
chr20:15383302-15383476 MACROD2
chr20:15659577-15660831 MACROD2
chr20:17572676-17572730 RRBP1
chr20:19960660-19961103 NAT5
chr20:20051399-20059986 C20orf26
chr20:20605065-20605135 C20orf74
chr20:21070074-21071965 C20orf19
chr20:24404824-24405637 C20orf39
chr20:26040752-26042315 C20orf191
chr20:2811980-2812323 PTPRA
chr20:2877360-2882487 PTPRA
chr20:29824811-29824900 TPX2
chr20:29871914-29873962 MYLK2
chr20:30282576-30282641 POFUT1
chr20:30791024-30791695 COMMD7
chr20:31787547-31787637 ZNF341
chr20:32579473-32579805 DYNLRB1
chr20:32705522-32707962 PIGU
chr20:33179725-33180461 EDEM2
chr20:33735690-33737135 NFS1
chr20:34034454-34034566 C20orf152
chr20:34454309-34454403 DLGAP4
chr20:35249024-35249335 RPN2
chr20:36572671-36572983 KIAA1219
chr20:39339717-39340912 ZHX3
chr20:40340323-40340374 PTPRT
chr20:40531706-40531867 PTPRT
chr20:41100077-41100299 PTPRT
chr20:41162903-41163758 PTPRT
chr20:41224677-41224861 PTPRT
chr20:41705279-41708002 IFT52
chr20:42986978-42987154 C20orf119
chr20:43637476-43640713 WFDC8
chr20:43835846-43835966 WFDC3
chr20:50192611-50194334 ZFP64
chr20:50217372-50217439 ZFP64
chr20:52080472-52091409 BCAS1
chr20:54450469-54452021 C20orf32
chr20:57219300-57219515 C20orf174
chr20:5737556-5739401 C20orf196
chr20:5973584-5975503 C20orf75
chr20:60004020-60004338 TAF4
chr20:6036819-6036939 C20orf42
chr20:60843069-60845216 NTSR1
chr20:61352357-61352413 C20orf58
chr20:62369937-62374001 PCMTD2
chr20:8135618-8135800 PLCB1
chr20:8358039-8359128 PLCB1
chr20:8362041-8362456 PLCB1
chr20:8774860-8775045 PLCB1
chr2:100935918-100936096 NPAS2
chr2:101723033-101723347 MAP4K4
chr2:101760242-101767870 MAP4K4
chr2:102092250-102092314 IL1R1
chr2:10258007-10258254 C2orf48
chr2:105805179-105807161 NCK2
chr21:10058057-10058605 BAGE4
chr2:110210048-111169578 BUB1
chr2:110210048-111169578 MALL
chr2:110210048-111169578 NPHP1
chr2:111292876-111293107 ACOXL
chr2:111470014-111470067 ACOXL
chr2:111599671-111602605 BCL2L11
chr2:113604577-113604834 IL1RN
chr2:115107302-115119181 DPP10
chr2:115251442-115258870 DPP10
chr2:115344575-115345313 DPP10
chr2:116286997-116287281 DPP10
chr21:16444083-16444411 C21orf34
chr21:16539916-16540031 C21orf34
chr21:16692893-16697282 C21orf34
chr21:18248519-18251213 CHODL
chr2:118456133-118456244 CCDC93
chr2:119430458-119430594 MARCO
chr2:125127678-125127735 CNTNAP5
chr2:125368243-125375536 CNTNAP5
chr21:26196623-26196820 APP
chr2:127820125-127830515 MAP3K2
chr2:128453544-128453632 SAP130
chr2:128587730-128588039 UGCGL1
chr21:29908669-29909564 GRIK1
chr21:30214316-30215122 GRIK1
chr2:131355533-131363791 ARHGEF4
chr2:131610183-131611242 PLEKHB2
chr2:131803730-131813077 PLEKHB2
chr21:34072734-34073051 ITSN1
chr21:34994423-34995264 CLIC6
chr2:134998369-134999056 TMEM163
chr21:35217851-35218065 RUNX1
chr2:135688148-135692834 ZRANB3
chr2:135814811-135818041 ZRANB3
chr2:136119174-136119251 R3HDM1
chr21:36564459-36566054 DOPEY2
chr21:36786307-36786628 CLDN14
chr21:37073143-37079650 HLCS
chr21:38572916-38577005 KCNJ15
chr21:40879119-40879237 DSCAM
chr2:141423923-141424010 LRP1B
chr2:1415421-1415536 TPO
chr2:142041772-142045516 LRP1B
chr2:142505358-142505582 LRP1B
chr21:42577083-42577447 ABCG1
chr21:45196222-45196538 C21orf70
chr21:45198163-45199064 C21orf70
chr21:45396611-45396664 ADARB1
chr21:46434171-46435304 LSS
chr21:46481780-46483101 MCM3AP
chr21:46603549-46604082 PCNT
chr21:46626328-46629030 PCNT
chr2:148965151-148967087 MBD5
chr2:1507867-1518587 TPO
chr2:1516678-1519551 TPO
chr2:152231858-152231947 NEB
chr2:152684917-152685017 STAM2
chr2:152913569-152913895 FMNL2
chr2:154564827-154565082 GALNT13
chr2:154604015-154607507 GALNT13
chr2:158681611-158687506 UPP2
chr2:159667967-159669525 TANC1
chr2:159804231-159808412 WDSUB1
chr2:159807512-159808430 WDSUB1
chr2:159848326-159848420 WDSUB1
chr2:160402372-160402459 LY75
chr2:161709987-161710707 TANK
chr2:165722940-165724990 SCN3A
chr2:166863926-166867039 SCN9A
chr2:167553199-167559454 XIRP2
chr2:1685749-1686171 PXDN
chr2:168604053-168604372 STK39
chr2:169112240-169112300 LASS6
chr2:169314378-169314453 LASS6
chr2:169594468-169594794 ABCB11
chr2:170455279-170455830 ZNF650
chr2:173010737-173012713 ITGA6
chr2:173597167-173597490 RAPGEF4
chr2:174798872-174799191 OLA1
chr2:175167565-175167818 WIPF1
chr2:175215602-175216664 WIPF1
chr2:176518121-176518253 KIAA1715
chr2:177995884-177996307 AGPS
chr2:179005228-179009117 PRKRA
chr2:179009293-179014582 PRKRA
chr2:179014677-179016238 PRKRA
chr2:179016357-179017393 PRKRA
chr2:179023385-179023938 PRKRA
chr2:179774912-179783830 SESTD1
chr2:179774967-179780525 SESTD1
chr2:179784064-179785837 SESTD1
chr2:180127612-180130330 ZNF533
chr2:181634073-181634394 UBE2E4P
chr2:182064217-182064531 ITGA4
chr2:182565160-182565842 PPP1R1C
chr2:183697897-183698481 NUP35
chr2:185343503-185343572 ZNF804A
chr2:187923964-187924270 CALCRL
chr2:188092543-188098107 TFPI
chr2:196444657-196444935 DNAH7
chr2:199887329-199891808 SATB2
chr2:200020701-200020924 SATB2
chr2:202256040-202256117 MPP4
chr2:203003671-203021160 BMPR2
chr2:205225698-205227499 PARD3B
chr2:205836283-205838102 PARD3B
chr2:207695865-207696052 KLF7
chr2:210113466-210114606 MAP2
chr2:214483450-214483756 SPAG16
chr2:214554810-214555164 SPAG16
chr2:214582949-214584458 SPAG16
chr2:214931492-214931576 SPAG16
chr2:2157335-2158472 MYT1L
chr22:16479517-16479826 ATP6V1E1
chr22:16521714-16524657 BCL2L13
chr2:216566930-216567698 MREG
chr2:216866592-216866972 MARCH4
chr22:17479931-17480625 DGCR2
chr22:18292551-18293449 TXNRD2
chr22:20715866-20930280 VPREB1
chr22:21010063-21114141 IGL@
chr22:21906857-21907812 BCR
chr2:222096529-222096827 EPHA4
chr22:22449327-22449471 MMP11
chr22:23287009-23287061 SNRPD3
chr22:24010013-24148336 IGLL3
chr22:24010013-24148336 LRP5L
chr22:25221515-25221650 TFIP11
chr22:26496651-26496718 MN1
chr2:227901750-227902565 C2orf33
chr2:227902742-227903583 C2orf33
chr22:27963087-27965390 EMID1
chr22:27964842-27965433 EMID1
chr22:28544393-28544448 ASCC2
chr22:28666311-28667194 MTMR3
chr22:28895832-28896035 HORMAD2
chr22:29067507-29067593 SF3A1
chr2:229657808-229657903 PID1
chr2:229665014-229665198 PID1
chr22:30247217-30247284 SFI1
chr22:30367576-30368845 PISD
chr2:230585361-230587920 FBXO36
chr22:31128549-31128688 C22orf28
chr2:231592317-231593496 SPATA3
chr2:231704421-231704744 PSMD1
chr22:32065995-32067056 LARGE
chr22:32081616-32081766 LARGE
chr22:32110450-32113361 LARGE
chr22:32399805-32399925 LARGE
chr22:32401847-32401897 LARGE
chr2:232749687-232754561 DIS3L2
chr2:233376616-233376920 TNRC15
chr2:233994461-233994904 DGKD
chr2:234208051-234209717 UGT1A9
chr2:234296217-234298725 UGT1A9
chr22:34901811-34905204 APOL3
chr22:34942946-34944264 APOL3
chr22:35066178-35066237 MYH9
chr2:236115922-236115980 CENTG2
chr22:36125504-36125659 LRRC62
chr22:36235724-36235961 CARD10
chr2:236308328-236308472 CENTG2
chr22:36955540-36956166 TMEM184B
chr2:237020254-237020949 IQCA
chr22:37392144-37392213 CBY1
chr22:37707512-37709130 APOBEC3B
chr22:37710302-37713050 APOBEC3B
chr22:37713912-37715930 APOBEC3B
chr22:37838812-37839012 APOBEC3H
chr22:38194590-38195142 MGAT3
chr22:39624170-39624502 XPNPEP3
chr2:239666529-239666824 HDAC4
chr22:41428595-41428962 A4GALT
chr22:41431406-41432129 A4GALT
chr2:242154777-242156007 BOK
chr22:42523455-42525015 EFCAB6
chr22:42712070-42713468 SAMM50
chr22:42896275-42897356 PARVB
chr22:43514105-43516226 PRR5
chr22:43679049-43679419 PHF21B
chr22:45130363-45130464 TRMU
chr22:47270698-47270798 FAM19A5
chr22:47389593-47390019 FAM19A5
chr22:47464139-47464414 FAM19A5
chr22:47470869-47472884 FAM19A5
chr22:48927754-48928137 MOV10L1
chr22:49166545-49166764 SAPS2
chr22:49296647-49297002 NCAPH2
chr2:28207425-28207751 BRE
chr2:28253811-28253874 BRE
chr2:28955475-28955858 WDR43
chr2:29495168-29498893 ALK
chr2:29811457-29816861 ALK
chr2:30585955-30586691 LYCAT
chr2:31196230-31196544 GALNT14
chr2:33570638-33581404 RASGRP3
chr2:33618231-33621370 RASGRP3
chr2:33634790-33635117 RASGRP3
chr2:3710666-3715823 ALLC
chr2:3710678-3715892 ALLC
chr2:3712912-3715730 ALLC
chr2:38038983-38040624 FAM82A
chr2:40300451-40300577 SLC8A1
chr2:40465924-40468434 SLC8A1
chr2:40618317-40625526 SLC8A1
chr2:42325723-42325810 EML4
chr2:43376908-43388120 THADA
chr2:43741065-43747143 PLEKHH2
chr2:44320612-44322335 PPM1B
chr2:44518098-44518176 C2orf34
chr2:44637092-44637412 C2orf34
chr2:46821311-46832497 SOCS5
chr2:48592993-48593182 CCDC128
chr2:48635340-48638371 STON1
chr2:48704695-48711456 STON1
chr2:48705512-48706930 STON1
chr2:48709912-48711530 STON1
chr2:48844031-48844668 STON1
chr2:50334538-50335299 NRXN1
chr2:50553180-50553294 NRXN1
chr2:50562390-50562709 NRXN1
chr2:51078052-51079046 NRXN1
chr2:53674977-53675348 ASB3
chr2:53697316-53700142 ASB3
chr2:53752337-53752534 ASB3
chr2:62203864-62204657 COMMD1
chr2:65177661-65177711 RAB1A
chr2:68563584-68569736 C2orf13
chr2:71196073-71201473 MCEE
chr2:71758290-71760629 DYSF
chr2:73140263-73140548 SFXN5
chr2:74364785-74365114 SLC4A5
chr2:75786150-75786218 C2orf3
chr2:76834623-76834682 LRRTM4
chr2:76954156-76955555 LRRTM4
chr2:77217348-77218145 LRRTM4
chr2:77511212-77512520 LRRTM4
chr2:80532796-80533551 CTNNA2
chr2:85088869-85089010 KCMF1
chr2:86307032-86307102 REEP1
chr2:97507012-97508930 KIAA1641
chr2:97521064-97523387 KIAA1641
chr2:97751740-97752135 TMEM131
chr2:97911211-97914302 TMEM131
chr2:98135536-98138809 VWA3B
chr2:98222637-98253028 VWA3B
chr2:99470146-99471463 REV1
chr3:100973961-100978096 COL8A1
chr3:101111473-101112321 C3orf26
chr3:101111473-101112321 FILIP1L
chr3:101181419-101183628 C3orf26
chr3:101181419-101183628 FILIP1L
chr3:101268041-101268346 C3orf26
chr3:101268041-101268346 FILIP1L
chr3:101806702-101812325 GPR128
chr3:102004320-102005197 ABI3BP
chr3:102151988-102153547 ABI3BP
chr3:103003897-103004490 FAM55C
chr3:10462002-10462064 ATP2B2
chr3:10524595-10524645 ATP2B2
chr3:109883268-109884890 DZIP3
chr3:11385097-11389772 ATG7
chr3:114521973-114522032 WDR52
chr3:116139643-116151291 ZBTB20
chr3:116140912-116143530 ZBTB20
chr3:116147012-116149030 ZBTB20
chr3:116149712-116151030 ZBTB20
chr3:117581619-117592845 LSAMP
chr3:121376674-121377133 GPR156
chr3:121644335-121647641 FSTL1
chr3:121785962-121902985 HGD
chr3:121785962-121902985 NDUFB4
chr3:121785962-121902985 RABL3
chr3:122238311-122238386 STXBP5L
chr3:123122915-123123293 SLC15A2
chr3:12326952-12327261 PPARG
chr3:12340544-12341547 PPARG
chr3:123564823-123565420 CCDC58
chr3:125161275-125161366 CCDC14
chr3:12522608-12522685 TSEN2
chr3:126498954-126499287 ZNF148
chr3:128813208-128813533 MCM2
chr3:129012381-129012812 MGLL
chr3:131019935-131020184 TMCC1
chr3:1340574-1341706 CNTN6
chr3:136325225-136326996 EPHB1
chr3:136357176-136357312 EPHB1
chr3:137179719-137183841 PPP2R3A
chr3:14135924-14135997 CHCHD4
chr3:14153182-14153857 TMEM43
chr3:141676485-141676704 CLSTN2
chr3:142264367-142264524 SPSB4
chr3:143166653-143168531 TFDP2
chr3:143166654-143168711 TFDP2
chr3:143332439-143335177 TFDP2
chr3:144702277-144703906 SLC9A9
chr3:14987668-14988358 NR2C2
chr3:150212563-150212794 GYG1
chr3:150279941-150279994 HLTF
chr3:150751162-150752836 WWTR1
chr3:157574858-157576385 KCNAB1
chr3:15820175-15821740 ANKRD28
chr3:160739716-160740384 SCHIP1
chr3:160911680-160911878 SCHIP1
chr3:160944046-160946126 SCHIP1
chr3:161716764-161718359 KPNA4
chr3:162003831-162003982 PPM1L
chr3:16214414-16216237 GALNTL2
chr3:162162980-162168742 PPM1L
chr3:172348474-172348528 TNIK
chr3:173539374-173539515 FNDC3B
chr3:173883591-173883911 AADACL1
chr3:17488056-17488186 TBC1D5
chr3:17516412-17517330 TBC1D5
chr3:17518312-17520530 TBC1D5
chr3:17695067-17700033 TBC1D5
chr3:180881304-180881492 USP13
chr3:181137034-181137498 PEX5L
chr3:184749252-184749664 KLHL6
chr3:185359510-185360097 DVL3
chr3:186994746-186994971 IGF2BP2
chr3:187382682-187384899 DGKG
chr3:187512304-187512639 DGKG
chr3:190846115-190853593 TP63
chr3:191058589-191058910 TP63
chr3:191220039-191223218 LEPREL1
chr3:191773334-191773630 IL1RAP
chr3:192493905-192496359 UTS2D
chr3:192547380-192554361 CCDC50
chr3:192547712-192551630 CCDC50
